focus,state,year,result,male,female
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nebraska",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nebraska",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nevada",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nevada",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nevada",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nevada",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nevada",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nevada",2003,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nevada",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nevada",2005,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nevada",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nevada",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Nevada",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Hampshire",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Hampshire",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Hampshire",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Hampshire",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Hampshire",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Hampshire",2003,,66.7,64.3
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Hampshire",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Hampshire",2005,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Hampshire",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Hampshire",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Hampshire",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Jersey",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Jersey",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Jersey",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Jersey",2001,56.6,60.8,58.3
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Jersey",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Jersey",2003,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Jersey",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Jersey",2005,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Jersey",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Jersey",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Jersey",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Mexico",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Mexico",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Mexico",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Mexico",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Mexico",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Mexico",2003,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Mexico",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Mexico",2005,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Mexico",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Mexico",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New Mexico",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New York",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New York",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New York",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New York",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New York",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New York",2003,57.6,61.7,60.0
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New York",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New York",2005,52.4,67.7,60.0
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New York",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New York",2007,48%,66%,57%
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","New York",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Carolina",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Carolina",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Carolina",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Carolina",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Carolina",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Carolina",2003,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Carolina",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Carolina",2005,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Carolina",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Carolina",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Carolina",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Dakota",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Dakota",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Dakota",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Dakota",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Dakota",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Dakota",2003,57.0,72.8,65.1
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Dakota",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Dakota",2005,61.0,74.6,67.6
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Dakota",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Dakota",2007,66%,67%,67%
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","North Dakota",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Ohio",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Ohio",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Ohio",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Ohio",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Ohio",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Ohio",2003,,,62.7
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Ohio",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Ohio",2005,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Ohio",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Ohio",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Ohio",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oklahoma",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oklahoma",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oklahoma",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oklahoma",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oklahoma",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oklahoma",2003,59.0,60.4,59.6
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oklahoma",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oklahoma",2005,55.7,69.2,62.5
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oklahoma",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oklahoma",2007,57%,61%,59%
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oklahoma",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oregon",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oregon",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oregon",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oregon",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oregon",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oregon",2003,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oregon",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oregon",2005,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oregon",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oregon",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Oregon",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Pennsylvania",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Pennsylvania",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Pennsylvania",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Pennsylvania",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Pennsylvania",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Pennsylvania",2003,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Pennsylvania",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Pennsylvania",2005,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Pennsylvania",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Pennsylvania",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Pennsylvania",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Rhode Island",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Rhode Island",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Rhode Island",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Rhode Island",2001,58.9,68.6,63.5
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Rhode Island",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Rhode Island",2003,46.3,66.8,56.9
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Rhode Island",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Rhode Island",2005,54.4,63.4,59.1
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Rhode Island",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Rhode Island",2007,62%,70%,66%
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Rhode Island",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Carolina",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Carolina",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Carolina",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Carolina",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Carolina",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Carolina",2003,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Carolina",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Carolina",2005,,71.0,64.6
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Carolina",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Carolina",2007,,,59%
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Carolina",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Dakota",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Dakota",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Dakota",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Dakota",2001,61.5,73.7,67.7
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Dakota",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Dakota",2003,60.1,70.6,64.7
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Dakota",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Dakota",2005,53.5,69.1,62.0
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Dakota",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Dakota",2007,58%,68%,63%
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","South Dakota",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Tennessee",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Tennessee",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Tennessee",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Tennessee",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Tennessee",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Tennessee",2003,51.3,69.9,60.0
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Tennessee",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Tennessee",2005,61.1,59.7,60.6
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Tennessee",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Tennessee",2007,47%,68%,56%
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Tennessee",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Texas",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Texas",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Texas",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Texas",2001,60.4,64.9,62.2
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Texas",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Texas",2003,59.3,62.5,60.9
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Texas",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Texas",2005,53.1,63.4,57.5
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Texas",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Texas",2007,48%,66%,56%
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Texas",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Utah",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Utah",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Utah",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Utah",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Utah",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Utah",2003,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Utah",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Utah",2005,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Utah",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Utah",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Utah",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Vermont",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Vermont",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Vermont",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Vermont",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Vermont",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Vermont",2003,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Vermont",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Vermont",2005,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Vermont",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Vermont",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Vermont",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Virginia",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Virginia",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Virginia",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Virginia",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Virginia",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Virginia",2003,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Virginia",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Virginia",2005,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Virginia",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Virginia",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Virginia",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Washington",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Washington",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Washington",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Washington",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Washington",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Washington",2003,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Washington",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Washington",2005,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Washington",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Washington",2007,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Washington",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","West Virginia",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","West Virginia",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","West Virginia",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","West Virginia",2001,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","West Virginia",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","West Virginia",2003,52.8,72.3,63.3
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","West Virginia",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","West Virginia",2005,42.5,60.5,52.3
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","West Virginia",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","West Virginia",2007,45%,63%,54%
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","West Virginia",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wisconsin",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wisconsin",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wisconsin",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wisconsin",2001,53.7,60.4,57.4
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wisconsin",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wisconsin",2003,55.2,71.3,63.5
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wisconsin",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wisconsin",2005,55.9,66.7,61.2
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wisconsin",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wisconsin",2007,61%,68%,65%
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wisconsin",2008,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wyoming",1998,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wyoming",1999,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wyoming",2000,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wyoming",2001,60.9,70.1,65.5
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wyoming",2002,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wyoming",2003,55.6,68.5,62.3
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wyoming",2004,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wyoming",2005,57.1,70.0,63.9
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wyoming",2006,,,
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wyoming",2007,54%,60%,57%
"27-7 Smoking cessation attempts by adolescents - Students (grades 9 through 12)","Wyoming",2008,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alabama",1998,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alabama",1999,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alabama",2000,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alabama",2001,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alabama",2002,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alabama",2003,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alabama",2004,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alabama",2005,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alabama",2006,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alabama",2007,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alabama",2008,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alaska",1998,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alaska",1999,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alaska",2000,12.1,18.1,15.2
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alaska",2001,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alaska",2002,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alaska",2003,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alaska",2004,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alaska",2005,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alaska",2006,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alaska",2007,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Alaska",2008,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arizona",1998,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arizona",1999,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arizona",2000,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arizona",2001,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arizona",2002,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arizona",2003,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arizona",2004,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arizona",2005,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arizona",2006,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arizona",2007,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arizona",2008,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arkansas",1998,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arkansas",1999,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arkansas",2000,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arkansas",2001,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arkansas",2002,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arkansas",2003,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arkansas",2004,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arkansas",2005,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arkansas",2006,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arkansas",2007,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","Arkansas",2008,,,
"27-9 Exposure to tobacco smoke at home - Children (aged 6 years and under)","California",1998,,,
