Focus area: 27-Tobacco Use - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw   data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 footnote,2006 data,raw   data,se   data,2007 footnote,2007 data,raw   data,se   data,2008 data,2008 raw value,2008 se
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,100.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,34.4,0.0,1,DSU,30.1,0.0,---,.,.
               Black or African American only,"2,1",DSU,66.6,.,"2,1",DSU,60.7,8.1,"2,1",DSU,64.1,8.7,1,DSU,64.3,8.1,1,DSU,62.8,7.8,1,DSU,44.6,8.0,1,60%,60.2,6.3,1,60%,59.8,6.3,1,69%,69.3,7.5,1,70%,69.6,6.2,---,.,.
               White only,"2,1",46%,45.8,.,"2,1",48%,47.7,2.3,"2,1",44%,44.1,2.2,1,48%,48.3,1.9,1,50%,49.6,2.0,1,41%,41.4,1.9,1,46%,45.9,1.5,1,48%,47.7,1.6,1,54%,54.2,1.6,1,53%,52.5,1.8,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,39.5,8.8,1,DSU,41.4,13.1,1,DSU,35.7,10.5,1,DSU,48.4,8.6,1,DSU,63.3,8.1,1,DSU,47.2,9.2,1,DSU,63.4,6.4,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,42.3,8.6,1,DSU,52.0,14.4,1,DSU,44.8,5.4,1,DSU,89.5,10.5,1,DSU,49.8,7.9,1,DSU,33.8,9.4,1,DSU,48.8,10.7,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,80.1,0.0,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,51.0,0.0,1,DSU,51.6,0.0,1,DSU,45.5,0.0,1,DSU,100.0,0.0,---,.,.
               Hispanic or Latino,1,DSU,62.9,.,1,DSU,37.6,7.7,1,DSU,48.5,9.7,1,DSU,70.2,6.4,1,DSU,59.4,9.2,1,DSU,62.6,4.9,1,55%,55.0,6.3,1,74%,73.7,5.2,1,71%,70.6,6.1,1,67%,66.5,8.3,---,.,.
               Not Hispanic or Latino,1,47%,46.9,.,1,48%,47.8,2.3,1,45%,45.1,2.2,1,49%,48.8,1.8,1,49%,49.1,1.9,1,43%,42.5,1.8,1,47%,46.7,1.5,1,48%,48.2,1.6,1,54%,54.1,1.6,1,53%,53.3,1.7,---,.,.
"                  Black or African American only, not Hisp/Latino","2,1",DSU,66.6,.,"2,1",DSU,60.7,8.1,"2,1",DSU,65.9,9.0,1,DSU,64.3,8.1,1,DSU,62.8,7.8,1,DSU,36.5,6.8,1,60%,60.2,6.3,1,59%,59.0,6.4,1,69%,69.3,7.5,1,70%,69.6,6.2,---,.,.
"                  White only, not Hispanic or Latino","2,1",46%,45.7,.,"2,1",48%,48.0,2.3,"2,1",44%,44.3,2.3,1,48%,47.8,1.9,1,49%,49.0,2.0,1,41%,41.2,1.9,1,46%,45.9,1.5,1,47%,47.4,1.6,1,54%,54.1,1.6,1,52%,52.1,1.8,---,.,.
               Female,1,47%,47.2,.,1,48%,48.2,2.8,1,45%,45.4,2.8,1,54%,53.9,2.3,1,52%,52.2,2.5,1,44%,43.8,2.2,1,48%,47.7,1.8,1,49%,48.7,2.0,1,56%,55.8,2.0,1,55%,54.8,2.0,---,.,.
               Male,1,48%,47.9,.,1,48%,48.0,3.2,1,45%,44.9,3.2,1,45%,44.6,2.6,1,47%,46.9,2.7,1,42%,41.8,2.8,1,46%,45.9,2.1,1,49%,49.2,2.4,1,54%,54.3,2.3,1,53%,52.8,2.5,---,.,.
               Less than high school,1,36%,35.9,.,1,54%,53.6,6.0,1,48%,47.5,5.3,1,49%,48.9,6.4,1,47%,46.8,5.9,1,32%,32.5,5.7,1,50%,49.6,4.8,1,52%,52.1,4.4,1,59%,58.6,4.5,1,50%,50.2,4.8,---,.,.
                  Less than 9th grade,1,DSU,48.3,.,1,DSU,60.4,9.1,1,DSU,68.0,10.1,1,DSU,61.6,11.7,1,DSU,36.3,12.0,1,DSU,40.9,12.1,1,DSU,62.0,8.2,1,DSU,43.1,9.2,1,DSU,61.9,8.2,1,DSU,52.3,10.6,---,.,.
                  Grades 9 through 11,1,32%,31.9,.,1,54%,54.4,6.9,1,42%,42.4,5.5,1,45%,45.3,7.5,1,48%,48.0,6.3,1,30%,30.4,6.0,1,48%,48.4,5.4,1,54%,54.3,5.2,1,59%,59.0,5.0,1,51%,50.6,5.2,---,.,.
               High school graduate,1,46%,46.2,.,1,41%,41.5,3.4,1,41%,41.1,3.4,1,42%,41.9,3.0,1,44%,43.8,3.1,1,40%,40.1,3.1,1,43%,42.7,2.3,1,48%,48.5,2.5,1,50%,50.5,2.5,1,51%,51.0,2.7,---,.,.
               At least some college,1,42%,42.5,.,1,48%,47.6,3.5,1,44%,43.5,3.7,1,51%,51.4,2.7,1,51%,50.6,2.7,1,42%,42.1,2.5,1,45%,45.1,2.0,1,46%,46.1,2.2,1,53%,53.3,2.2,1,52%,52.4,2.1,---,.,.
                  College graduate and above,1,41%,40.9,.,1,52%,52.4,5.9,1,43%,43.4,6.3,1,51%,51.2,4.2,1,48%,48.0,4.5,1,42%,41.9,4.0,1,41%,41.1,3.2,1,49%,48.7,3.5,1,54%,54.3,3.2,1,50%,50.4,3.4,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,56%,56.1,3.9,,DNC,.,.,1,46%,45.8,5.0,1,47%,47.1,3.2,1,53%,53.3,3.6,1,55%,54.9,3.5,1,54%,54.5,3.4,---,.,.
               Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,48%,47.9,2.0,,DNC,.,.,1,42%,41.5,2.0,1,46%,46.1,1.6,1,48%,48.2,1.8,1,54%,54.1,1.7,1,53%,52.7,1.9,---,.,.
                  Persons with diabetes,1,DSU,43.9,.,1,DSU,35.2,7.5,1,DSU,57.7,9.1,1,67%,67.2,5.9,1,60%,60.0,5.6,1,43%,43.0,7.8,1,61%,61.1,5.2,1,56%,56.4,6.0,1,68%,68.4,6.6,1,47%,47.4,9.2,---,.,.
                  Persons without diabetes,1,47%,47.3,.,1,48%,48.1,2.3,1,44%,44.2,2.2,1,49%,48.6,1.8,1,49%,49.2,1.9,1,43%,42.8,1.9,1,46%,45.6,1.5,1,48%,48.1,1.6,1,54%,54.3,1.6,1,54%,53.9,1.6,---,.,.
                  Persons aged 18 to 24 years (not age adjusted),1,70%,69.9,.,1,61%,60.5,8.2,1,58%,57.8,6.3,1,66%,66.3,4.8,1,65%,64.8,5.7,1,59%,59.2,6.5,1,60%,59.8,4.9,1,58%,57.7,5.8,1,73%,72.7,5.4,1,71%,70.7,6.3,---,.,.
                  Persons aged 25 to 44 years (not age adjusted),1,50%,49.9,.,1,47%,47.1,3.2,1,49%,49.0,3.1,1,52%,51.7,2.5,1,55%,54.7,2.7,1,48%,48.0,2.9,1,50%,49.9,2.2,1,55%,55.0,2.4,1,60%,59.9,2.5,1,57%,56.7,2.7,---,.,.
                  Persons aged 45 to 64 years (not age adjusted),1,40%,40.2,.,1,45%,45.3,3.7,1,40%,39.7,3.6,1,44%,44.4,2.9,1,40%,39.8,2.8,1,42%,42.2,2.9,1,45%,45.1,2.2,1,44%,44.0,2.2,1,46%,46.3,2.0,1,47%,47.0,2.1,---,.,.
                  Persons aged 65 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,36%,35.9,.,1,44%,44.3,6.2,1,35%,35.2,6.5,1,42%,42.1,5.8,1,42%,42.1,5.8,1,18%,18.4,3.9,1,34%,33.9,3.6,1,40%,40.2,4.2,1,46%,45.7,3.9,1,47%,47.0,3.5,---,.,.
            STATE:Kentucky,1,47%,46.9,.,1,49%,48.7,1.5,1,46%,46.3,1.7,1,48%,47.6,1.6,1,48%,47.7,1.7,1,48%,48.3,1.6,1,52%,51.7,1.9,1,49%,49.4,1.6,1,48%,47.8,1.8,1,50%,49.9,1.9,---,.,.
               American Indian or Alaska Native only,"2,1",DSU,100.0,0.0,"2,1",DSU,90.3,9.2,"2,1",DSU,65.5,19.5,1,DSU,60.5,7.7,1,DSU,49.4,8.5,1,DSU,28.9,11.7,1,DSU,67.6,5.5,1,DSU,65.3,11.1,1,DSU,51.9,7.5,1,DSU,61.9,11.0,---,.,.
               Asian or Pacific Islander only,"2,1",DSU,100.0,0.0,"2,1",DSU,0.0,0.0,"2,1",DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,48.4,0.0,1,DSU,41.4,0.0,1,DSU,100.0,0.0,1,DSU,57.3,0.0,,DNC,.,.,1,DSU,57.7,0.0,,DNC,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,100.0,0.0,1,DSU,100.0,0.0,1,DSU,0.0,0.0,1,DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.
               Black or African American only,"2,1",50%,50.4,.,"2,1",61%,61.4,6.4,"2,1",74%,74.2,6.4,1,50%,50.5,6.0,1,60%,60.4,6.1,1,66%,66.2,7.4,1,61%,61.3,7.0,1,44%,44.4,6.9,1,65%,65.3,7.4,1,53%,53.0,6.3,---,.,.
               White only,"2,1",46%,46.2,.,"2,1",48%,48.0,1.6,"2,1",45%,44.8,1.7,1,47%,47.4,1.7,1,48%,47.6,1.8,1,47%,46.9,1.6,1,51%,50.7,1.9,1,49%,49.3,1.7,1,47%,47.1,1.9,1,49%,48.9,1.8,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,53.5,7.8,1,DSU,20.8,10.3,1,DSU,50.5,13.5,1,DSU,83.1,8.2,1,DSU,43.2,6.9,1,DSU,39.2,9.1,1,DSU,48.9,4.7,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,79.3,14.9,1,DSU,34.4,12.3,1,DSU,76.4,11.1,1,DSU,68.2,6.2,1,DSU,46.5,7.1,1,DSU,43.0,12.5,1,DSU,71.7,10.3,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,58.3,10.4,1,DSU,0.0,0.0,1,DSU,62.1,16.8,1,DSU,100.0,0.0,1,DSU,0.0,0.0,1,DSU,51.8,0.0,1,DSU,45.9,0.0,---,.,.
               Hispanic or Latino,1,DSU,56.5,.,1,DSU,68.4,10.2,1,DSU,31.0,10.1,1,DSU,39.2,7.3,1,DSU,61.2,7.7,1,DSU,60.7,7.8,1,DSU,63.2,8.7,1,DSU,53.7,5.9,1,DSU,48.4,10.1,1,DSU,66.9,7.6,---,.,.
               Not Hispanic or Latino,1,47%,46.6,.,1,49%,48.8,1.5,1,46%,46.4,1.7,1,47%,47.5,1.7,1,47%,47.5,1.7,1,48%,48.2,1.6,1,52%,51.7,1.9,1,49%,49.5,1.7,1,48%,47.7,1.8,1,50%,49.5,1.9,---,.,.
"                  Black or African American only, not Hisp/Latino","2,1",51%,50.8,.,"2,1",61%,61.4,6.4,"2,1",74%,74.1,6.4,1,50%,50.5,6.0,1,60%,60.1,6.1,1,66%,65.6,7.5,1,61%,61.2,7.0,1,44%,44.1,6.9,1,65%,65.3,7.4,1,53%,53.0,6.3,---,.,.
"                  White only, not Hispanic or Latino","2,1",46%,46.3,.,"2,1",48%,48.0,1.6,"2,1",45%,44.9,1.7,1,47%,47.3,1.7,1,47%,47.4,1.8,1,47%,46.9,1.6,1,51%,50.7,2.0,1,49%,49.3,1.7,1,47%,46.9,1.9,1,49%,48.7,1.9,---,.,.
               Female,1,43%,42.9,.,1,50%,49.7,2.0,1,49%,48.9,2.3,1,50%,50.2,2.0,1,53%,52.6,2.1,1,50%,50.4,2.0,1,52%,52.4,2.2,1,51%,50.6,2.0,1,49%,49.0,2.2,1,52%,51.7,2.2,---,.,.
               Male,1,51%,50.8,.,1,48%,47.9,2.3,1,44%,44.0,2.5,1,45%,44.7,2.7,1,43%,43.0,2.6,1,46%,46.0,2.4,1,51%,50.7,2.9,1,48%,48.1,2.6,1,46%,46.3,2.9,1,48%,48.0,3.0,---,.,.
               Less than high school,1,38%,38.0,.,1,41%,40.9,2.8,1,40%,40.1,3.3,1,47%,46.8,2.8,1,53%,53.2,3.5,1,48%,48.3,3.1,1,46%,46.1,3.5,1,48%,47.7,3.3,1,44%,43.9,3.8,1,48%,48.4,4.3,---,.,.
                  Less than 9th grade,1,39%,38.7,.,1,37%,37.2,5.0,1,44%,43.8,5.7,1,46%,45.8,4.9,1,57%,56.9,7.4,1,39%,39.3,4.1,1,48%,48.1,7.0,1,55%,55.3,6.0,1,46%,45.9,7.0,1,53%,53.1,6.2,---,.,.
                  Grades 9 through 11,1,38%,37.7,.,1,42%,42.4,3.9,1,34%,34.4,4.1,1,47%,47.0,3.7,1,51%,50.7,4.0,1,50%,49.7,3.7,1,45%,44.5,4.1,1,45%,45.0,4.0,1,42%,42.0,4.4,1,47%,47.2,5.1,---,.,.
               High school graduate,1,44%,44.0,.,1,45%,45.2,2.6,1,40%,40.4,2.7,1,46%,45.9,2.9,1,46%,46.2,2.7,1,46%,46.2,2.4,1,51%,51.2,3.0,1,50%,50.0,2.6,1,45%,45.4,2.9,1,48%,48.1,2.8,---,.,.
               At least some college,1,50%,49.7,.,1,50%,50.1,3.1,1,48%,47.8,3.6,1,51%,50.6,3.0,1,41%,41.1,3.0,1,47%,47.4,3.0,1,53%,52.9,3.4,1,44%,44.0,2.7,1,48%,47.9,3.2,1,57%,56.7,3.2,---,.,.
                  College graduate and above,1,44%,44.0,.,1,55%,54.8,5.5,1,34%,33.9,4.9,1,44%,44.2,4.7,1,37%,37.3,5.0,1,45%,44.6,5.3,1,60%,60.3,5.8,1,38%,38.1,4.5,1,46%,46.4,5.2,1,54%,53.9,5.0,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,50%,50.4,2.8,1,50%,50.3,3.1,1,53%,53.4,2.9,1,56%,55.7,3.6,1,54%,53.7,3.0,1,52%,52.4,3.4,1,52%,52.4,3.5,---,.,.
               Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,46%,45.6,2.2,1,47%,46.6,2.1,1,46%,45.9,2.0,1,48%,48.4,2.3,1,47%,47.2,2.0,1,46%,46.1,2.2,1,47%,47.2,2.3,---,.,.
                  Persons with diabetes,1,DSU,42.7,.,1,58%,58.3,6.3,1,36%,36.5,8.7,1,51%,50.9,5.7,1,49%,49.0,5.0,1,70%,69.8,4.5,1,49%,49.1,5.6,1,67%,66.6,4.6,1,51%,50.8,4.8,1,62%,61.9,5.7,---,.,.
                  Persons without diabetes,1,47%,47.0,.,1,48%,48.1,1.6,1,47%,46.6,1.8,1,47%,47.3,1.7,1,47%,47.5,1.8,1,47%,47.0,1.6,1,51%,51.3,2.0,1,48%,48.3,1.7,1,47%,46.9,1.9,1,49%,49.4,2.0,---,.,.
                  Persons aged 18 to 24 years (not age adjusted),1,67%,66.8,.,1,68%,68.2,4.5,1,65%,65.4,5.2,1,46%,46.4,4.8,1,52%,52.0,5.5,1,58%,58.2,5.6,1,59%,58.9,6.8,1,58%,58.4,6.5,1,62%,62.2,6.5,1,42%,41.8,7.5,---,.,.
                  Persons aged 25 to 44 years (not age adjusted),1,49%,49.5,.,1,50%,49.7,2.3,1,49%,48.5,2.6,1,49%,49.0,2.2,1,51%,50.9,2.7,1,53%,53.2,2.5,1,56%,55.9,3.0,1,56%,55.6,2.5,1,47%,47.2,3.0,1,53%,53.2,3.1,---,.,.
                  Persons aged 45 to 64 years (not age adjusted),1,39%,38.9,.,1,45%,44.7,2.6,1,41%,41.0,2.7,1,47%,46.7,2.5,1,44%,44.3,2.8,1,41%,40.7,2.4,1,46%,45.7,2.8,1,43%,43.4,2.4,1,46%,45.7,2.6,1,47%,46.5,2.4,---,.,.
                  Persons aged 65 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,40%,39.9,.,1,40%,39.6,4.5,1,36%,35.8,5.2,1,47%,46.5,5.9,1,42%,42.0,4.1,1,42%,41.6,4.4,1,47%,47.2,4.7,1,39%,39.4,4.0,1,42%,41.9,4.5,1,53%,53.5,4.2,---,.,.
            STATE:Louisiana,1,50%,49.9,.,1,51%,50.8,3.3,1,52%,51.8,2.1,1,55%,55.5,1.7,1,58%,57.6,1.8,1,53%,52.7,1.7,1,59%,58.6,1.4,1,61%,60.7,2.3,1,57%,57.2,1.6,1,55%,55.0,1.8,---,.,.
               American Indian or Alaska Native only,"2,1",DSU,100.0,0.0,"2,1",DSU,0.0,0.0,"2,1",DSU,52.7,11.8,1,DSU,70.6,9.7,1,DSU,44.0,8.2,1,DSU,71.8,7.8,1,DSU,63.2,7.9,1,DSU,74.9,0.0,1,DSU,61.6,10.1,1,DSU,30.3,7.4,---,.,.
               Asian or Pacific Islander only,"2,1",DSU,0.0,0.0,"2,1",DSU,13.9,16.9,"2,1",DSU,34.4,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,25.3,10.3,1,DSU,88.2,10.4,1,DSU,35.8,6.1,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,81.1,2.7,1,DSU,68.1,15.3,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,0.0,0.0,1,DSU,37.9,0.0,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,100.0,0.0,---,.,.
               Black or African American only,"2,1",63%,63.2,.,"2,1",61%,61.1,5.7,"2,1",66%,66.4,4.8,1,65%,64.7,3.5,1,70%,70.1,3.6,1,68%,67.6,3.3,1,70%,70.3,2.8,1,74%,74.3,4.0,1,63%,63.3,3.5,1,69%,69.3,3.7,---,.,.
               White only,"2,1",44%,44.3,.,"2,1",49%,48.5,3.6,"2,1",47%,47.3,2.3,1,52%,52.3,2.0,1,53%,52.5,2.1,1,47%,46.6,1.9,1,54%,54.1,1.6,1,55%,55.0,2.8,1,54%,54.5,1.9,1,50%,50.2,2.0,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,29.9,0.0,1,DSU,60.0,12.0,1,DSU,50.3,6.8,1,DSU,64.5,9.5,1,DSU,34.1,11.7,1,DSU,60.4,11.2,1,DSU,61.4,6.6,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,61.8,10.4,1,DSU,64.1,8.3,1,DSU,66.3,6.9,1,DSU,0.0,0.0,1,DSU,49.0,12.6,1,DSU,10.0,9.6,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,38.8,6.5,1,DSU,77.7,12.1,1,DSU,100.0,0.0,1,DSU,39.1,15.5,1,DSU,62.2,4.3,---,.,.
               Hispanic or Latino,1,DSU,58.9,.,1,DSU,65.2,6.8,1,DSU,54.4,8.4,1,DSU,70.6,7.9,1,DSU,41.7,11.9,1,DSU,64.5,11.4,1,55%,55.4,6.0,1,DSU,55.4,13.1,1,DSU,63.6,6.9,1,DSU,68.0,7.3,---,.,.
               Not Hispanic or Latino,1,49%,48.6,.,1,50%,50.2,3.4,1,51%,51.4,2.1,1,55%,55.4,1.7,1,58%,58.0,1.8,1,52%,52.4,1.7,1,58%,58.4,1.4,1,61%,60.7,2.3,1,56%,56.5,1.7,1,55%,54.9,1.9,---,.,.
"                  Black or African American only, not Hisp/Latino","2,1",63%,63.2,.,"2,1",62%,61.7,6.0,"2,1",66%,66.3,4.9,1,65%,64.7,3.5,1,70%,69.8,3.6,1,68%,67.6,3.3,1,70%,69.9,2.9,1,74%,74.3,4.0,1,64%,63.5,3.5,1,69%,69.3,3.7,---,.,.
"                  White only, not Hispanic or Latino","2,1",43%,43.2,.,"2,1",48%,47.6,3.6,"2,1",46%,46.5,2.3,1,52%,52.0,2.0,1,53%,53.0,2.1,1,46%,46.1,1.9,1,54%,53.9,1.6,1,55%,55.2,2.8,1,54%,53.8,1.9,1,50%,50.2,2.1,---,.,.
               Female,1,46%,46.4,.,1,48%,48.3,4.4,1,47%,47.0,2.7,1,59%,59.3,2.1,1,57%,57.1,2.3,1,54%,54.1,2.1,1,57%,57.4,1.8,1,59%,59.0,2.9,1,57%,57.0,2.0,1,58%,58.4,2.2,---,.,.
               Male,1,53%,52.9,.,1,53%,52.9,4.9,1,57%,56.6,3.1,1,53%,53.0,2.5,1,58%,58.4,2.6,1,52%,51.6,2.6,1,59%,59.2,2.1,1,63%,62.7,3.6,1,58%,57.6,2.5,1,51%,51.4,2.7,---,.,.
               Less than high school,1,38%,38.1,.,1,50%,50.0,7.3,1,56%,55.9,4.4,1,59%,58.7,3.7,1,55%,54.9,4.1,1,62%,62.4,3.9,1,57%,56.6,3.3,1,56%,56.2,5.5,1,59%,59.2,3.8,1,58%,57.6,4.4,---,.,.
                  Less than 9th grade,1,DSU,45.3,.,1,DSU,51.0,9.4,1,DSU,51.5,8.4,1,58%,57.9,6.8,1,54%,54.2,7.5,1,DSU,57.9,8.0,1,48%,47.7,6.4,1,DSU,48.9,8.9,1,54%,54.4,6.8,1,45%,44.8,6.1,---,.,.
                  Grades 9 through 11,1,DSU,34.2,.,1,DSU,48.5,9.0,1,59%,59.1,5.2,1,60%,60.1,4.7,1,54%,54.1,5.1,1,66%,65.5,4.2,1,57%,57.1,3.7,1,55%,55.1,6.5,1,62%,61.6,4.2,1,62%,62.2,5.0,---,.,.
               High school graduate,1,46%,46.0,.,1,53%,52.7,5.8,1,51%,51.3,3.9,1,53%,52.8,2.9,1,59%,58.7,3.0,1,44%,44.3,2.9,1,57%,56.6,2.3,1,61%,61.3,4.0,1,57%,56.7,2.7,1,53%,53.3,3.1,---,.,.
               At least some college,1,47%,47.0,.,1,40%,40.0,5.5,1,43%,43.1,3.8,1,52%,52.0,3.3,1,52%,52.4,3.1,1,49%,49.5,3.0,1,58%,57.6,2.4,1,54%,53.9,3.7,1,55%,55.1,2.6,1,49%,48.6,2.9,---,.,.
                  College graduate and above,1,DSU,41.1,.,1,DSU,34.0,5.6,1,52%,51.8,7.4,1,53%,52.6,5.2,1,50%,49.5,4.6,1,47%,47.2,5.4,1,59%,58.6,3.8,1,51%,50.8,5.2,1,55%,55.0,4.0,1,44%,44.0,4.5,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,67%,67.4,3.4,,DNC,.,.,1,56%,56.2,3.4,1,63%,62.7,3.2,1,70%,69.7,4.1,1,55%,54.8,3.4,1,64%,63.9,3.6,---,.,.
               Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,52%,52.2,1.9,,DNC,.,.,1,51%,51.4,2.0,1,57%,56.6,1.6,1,57%,56.9,2.7,1,58%,57.9,2.0,1,51%,51.3,2.1,---,.,.
                  Persons with diabetes,1,DSU,36.2,.,1,DSU,63.5,6.9,1,DSU,53.1,6.8,1,DSU,50.8,6.0,1,56%,55.9,6.9,1,50%,49.7,7.4,1,81%,81.3,3.6,1,DSU,81.1,6.2,1,65%,65.2,4.6,1,66%,66.2,5.2,---,.,.
                  Persons without diabetes,1,50%,50.0,.,1,50%,49.7,3.4,1,52%,51.5,2.1,1,55%,55.1,1.7,1,57%,57.5,1.8,1,53%,52.6,1.8,1,57%,57.0,1.5,1,59%,59.0,2.4,1,56%,56.4,1.7,1,54%,53.6,1.9,---,.,.
                  Persons aged 18 to 24 years (not age adjusted),1,DSU,74.3,.,1,DSU,77.8,8.8,1,68%,67.8,5.2,1,64%,63.9,4.2,1,71%,70.6,4.2,1,67%,67.2,4.7,1,69%,69.0,3.7,1,79%,79.1,6.4,1,61%,60.6,5.8,1,73%,72.8,5.9,---,.,.
                  Persons aged 25 to 44 years (not age adjusted),1,48%,48.4,.,1,51%,51.2,4.7,1,55%,55.2,2.7,1,55%,55.3,2.4,1,58%,58.0,2.7,1,54%,53.7,2.5,1,62%,61.6,2.0,1,60%,60.2,3.5,1,60%,60.4,2.6,1,51%,51.4,3.2,---,.,.
                  Persons aged 45 to 64 years (not age adjusted),1,38%,37.7,.,1,50%,49.6,5.8,1,42%,42.2,3.3,1,57%,57.5,2.8,1,54%,53.8,3.0,1,49%,49.4,2.6,1,55%,55.4,2.3,1,59%,59.5,3.6,1,51%,50.8,2.3,1,56%,55.6,2.4,---,.,.
                  Persons aged 65 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,DSU,55.9,.,1,DSU,32.0,10.0,1,48%,48.1,7.9,1,46%,46.0,5.6,1,53%,53.3,5.4,1,45%,44.9,5.5,1,49%,49.2,4.5,1,50%,50.3,7.0,1,58%,58.0,4.7,1,49%,49.3,4.5,---,.,.
            STATE:Maine,1,50%,49.7,.,1,60%,60.3,3.1,1,51%,51.1,3.0,1,59%,59.0,2.4,1,58%,57.7,2.3,1,54%,53.6,2.5,1,58%,57.7,2.3,1,54%,54.3,2.3,1,59%,59.3,2.2,1,57%,57.3,1.8,---,.,.
               American Indian or Alaska Native only,"2,1",DSU,0.0,0.0,"2,1",DSU,45.9,0.0,"2,1",DSU,29.6,4.2,1,DSU,70.0,11.0,1,DSU,49.5,16.2,1,DSU,55.9,8.9,1,DSU,40.8,9.1,1,DSU,60.1,8.6,1,DSU,43.8,9.3,1,DSU,47.1,7.2,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,57.3,0.0,"2,1",DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,0.0,0.0,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,45.5,0.0,1,DSU,0.0,0.0,1,DSU,100.0,0.0,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,43.7,0.0,,DNC,.,.,1,DSU,100.0,0.0,---,.,.
               Black or African American only,"2,1",DSU,0.0,0.0,"2,1",DSU,100.0,0.0,"2,1",DSU,56.5,0.0,1,DSU,29.9,10.5,1,DSU,57.6,17.0,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,51.8,0.0,1,DSU,80.1,0.0,1,DSU,100.0,0.0,---,.,.
