Focus area: 19-Nutrition and Overweight - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw  data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
               Persons with high blood pressure,,DNC,.,.,1,33%,32.7,2.9,,DNC,.,.,1,33%,33.4,2.1,,DNC,.,.,1,36%,36.5,1.7,,DNC,.,.,1,DNC,37.1,1.8,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,14%,14.2,1.0,,DNC,.,.,1,16%,15.6,0.8,,DNC,.,.,1,15%,15.3,0.5,,DNC,.,.,1,DNC,18.1,0.6,---,.,.,---,.,.,---,.,.
            STATE:New Mexico,1,15%,15.5,0.7,1,18%,17.6,0.7,1,19%,19.3,0.8,1,20%,20.1,0.8,1,20%,20.2,0.8,1,21%,20.7,0.7,1,22%,21.8,0.7,1,23%,23.4,0.8,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"3,1",23%,22.7,2.9,"3,1",21%,21.2,3.0,"3,1",22%,21.7,3.6,1,33%,33.0,3.7,1,28%,28.4,3.4,1,31%,30.7,3.3,1,27%,27.0,2.6,1,38%,37.5,2.7,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,"3,1",DSU,0.0,0.0,"3,1",DSU,3.4,2.3,"3,1",DSU,2.8,2.1,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,6.6,3.8,1,DSU,6.1,4.5,1,DSU,15.2,6.7,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,33.9,12.0,1,DSU,27.1,7.1,1,DSU,10.5,5.1,1,DSU,38.9,11.4,1,DSU,12.6,8.9,---,.,.,---,.,.,---,.,.
               Black or African American only,"3,1",34%,33.9,4.8,"3,1",29%,28.8,6.7,"3,1",DSU,22.6,7.9,1,DSU,15.9,5.0,1,31%,30.7,6.4,1,35%,35.1,6.3,1,49%,48.6,6.2,1,29%,28.6,5.8,---,.,.,---,.,.,---,.,.
               White only,"3,1",14%,13.8,0.7,"3,1",15%,15.2,0.8,"3,1",18%,17.9,0.9,1,17%,17.4,0.9,1,18%,17.9,0.9,1,19%,19.4,0.8,1,20%,19.9,0.8,1,21%,21.0,0.8,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,30.9,5.3,1,26%,26.1,5.1,1,19%,18.9,4.2,1,21%,21.1,4.0,1,24%,24.0,4.2,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,38.3,6.4,1,DSU,21.1,5.3,1,DSU,15.4,5.2,1,24%,23.8,5.6,1,24%,24.4,5.3,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,35.3,0.0,1,DSU,61.1,0.0,1,DSU,59.5,9.0,1,DSU,21.5,13.9,1,DSU,7.3,4.9,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,17%,17.5,1.2,1,20%,20.3,1.3,1,24%,24.1,1.4,1,24%,23.9,1.4,1,24%,23.5,1.4,1,24%,23.9,1.2,1,25%,24.9,1.2,1,26%,26.4,1.4,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,14%,14.1,0.8,1,16%,16.2,0.9,1,16%,16.2,0.9,1,18%,18.1,1.1,1,18%,18.4,1.0,1,19%,18.8,0.9,1,20%,19.7,0.8,1,21%,21.3,0.8,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","3,1",35%,35.5,5.8,"3,1",DSU,30.8,7.0,"3,1",DSU,32.3,6.5,1,DSU,16.6,5.5,1,30%,30.5,6.5,1,35%,35.4,6.5,1,45%,44.7,6.9,1,30%,30.2,6.5,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","3,1",13%,12.9,0.8,"3,1",15%,14.9,1.0,"3,1",15%,15.2,1.0,1,16%,16.1,1.0,1,17%,16.9,1.0,1,18%,17.8,0.9,1,18%,17.8,0.8,1,19%,18.9,0.9,---,.,.,---,.,.,---,.,.
               Female,1,16%,16.4,0.9,1,19%,18.6,1.0,1,19%,18.8,1.1,1,19%,19.1,1.0,1,20%,20.1,1.0,1,20%,20.4,0.9,1,22%,22.5,0.9,1,23%,23.3,0.9,---,.,.,---,.,.,---,.,.
               Male,1,14%,14.3,1.0,1,17%,16.5,1.0,1,20%,19.9,1.1,1,21%,21.1,1.3,1,20%,20.1,1.2,1,21%,20.8,1.1,1,21%,21.0,1.0,1,23%,23.3,1.3,---,.,.,---,.,.,---,.,.
               Less than high school,1,20%,20.0,2.2,1,24%,24.4,2.3,1,25%,25.0,2.4,1,33%,33.4,2.7,1,29%,29.5,2.6,1,26%,25.6,2.2,1,31%,31.2,2.3,1,28%,28.2,2.2,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,22%,21.7,3.5,1,26%,25.8,3.8,1,34%,34.4,4.5,1,38%,37.8,4.1,1,34%,34.3,4.4,1,33%,32.6,3.9,1,37%,36.5,3.9,1,28%,27.9,3.3,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,18%,18.3,2.8,1,23%,22.7,2.9,1,21%,20.6,2.8,1,30%,30.5,3.5,1,28%,27.9,3.3,1,20%,20.1,2.5,1,27%,26.8,2.7,1,28%,28.2,2.8,---,.,.,---,.,.,---,.,.
               High school graduate,1,18%,18.0,1.4,1,21%,20.6,1.6,1,23%,23.4,1.7,1,24%,24.0,1.7,1,23%,22.9,1.6,1,23%,23.4,1.4,1,27%,27.0,1.4,1,29%,28.9,1.5,---,.,.,---,.,.,---,.,.
               At least some college,1,14%,14.1,0.9,1,15%,15.0,0.9,1,17%,16.8,1.0,1,17%,16.8,1.0,1,18%,18.1,1.0,1,20%,19.8,0.9,1,19%,19.0,0.8,1,21%,20.5,0.8,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,11%,11.2,1.1,1,13%,12.6,1.1,1,14%,13.8,1.2,1,12%,12.4,1.2,1,14%,14.0,1.2,1,17%,16.5,1.2,1,15%,15.3,1.0,1,18%,17.8,1.1,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,23.6,2.0,,DNC,.,.,1,28%,28.4,2.0,1,31%,31.0,2.1,1,30%,29.8,1.8,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,19%,18.8,0.9,,DNC,.,.,1,19%,18.9,0.8,1,20%,19.6,0.7,1,21%,20.9,0.9,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,14%,14.5,1.1,1,17%,17.2,1.2,1,18%,17.8,1.3,1,19%,18.9,1.4,1,20%,19.9,1.4,1,21%,20.8,0.8,1,22%,22.3,1.3,1,22%,22.5,1.6,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,19%,19.1,1.2,1,20%,20.3,1.3,1,23%,23.0,1.4,1,23%,23.5,1.4,1,22%,22.5,1.2,1,23%,22.9,1.1,1,25%,24.8,1.1,1,27%,26.5,1.1,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,12%,11.8,1.2,1,15%,15.1,1.4,1,17%,17.2,1.5,1,18%,17.8,1.4,1,18%,17.5,1.3,1,17%,17.4,1.1,1,16%,16.2,0.9,1,20%,19.9,1.1,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,28%,28.4,2.7,1,24%,23.6,2.3,1,24%,24.1,2.0,1,26%,26.4,2.0,,DNC,.,.,1,DNC,34.5,2.5,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,17%,17.1,0.9,1,19%,18.8,0.9,1,18%,18.1,0.9,1,19%,18.8,0.8,,DNC,.,.,1,DNC,20.1,0.9,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,32%,31.5,5.7,1,31%,30.9,4.8,1,45%,45.4,4.9,1,54%,53.8,4.6,1,41%,41.0,3.8,1,48%,48.4,5.2,1,52%,52.5,4.5,1,54%,53.8,4.6,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,15%,14.7,0.7,1,17%,16.6,0.7,1,18%,17.9,0.8,1,19%,18.6,0.8,1,18%,18.4,0.8,1,19%,19.1,0.7,1,20%,19.7,0.7,1,21%,21.1,0.8,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,30%,29.9,2.3,,DNC,.,.,1,34%,33.8,2.8,,DNC,.,.,1,37%,37.0,2.6,,DNC,.,.,1,DNC,39.1,2.4,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,15%,14.9,0.8,,DNC,.,.,1,17%,17.4,0.9,,DNC,.,.,1,17%,17.2,0.7,,DNC,.,.,1,DNC,18.6,0.8,---,.,.,---,.,.,---,.,.
            STATE:New York,1,16%,16.3,0.9,1,18%,17.8,0.9,1,18%,17.8,0.8,1,21%,20.7,0.8,1,21%,20.5,0.7,1,21%,21.1,0.7,1,22%,22.4,0.7,1,23%,23.1,0.8,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"3,1",DSU,35.3,12.2,"3,1",DSU,22.8,5.6,"3,1",DSU,1.8,1.9,1,DSU,47.6,7.8,1,DSU,25.5,6.2,1,25%,24.9,5.1,1,DSU,32.5,7.8,1,DSU,4.0,2.4,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,"3,1",DSU,2.7,1.6,"3,1",DSU,9.7,4.1,"3,1",DSU,5.9,2.9,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,1.3,0.8,1,DSU,5.5,2.7,1,DSU,7.0,2.7,1,DSU,11.0,3.4,1,DSU,6.1,2.7,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,29.2,11.8,1,DSU,34.7,15.0,1,DSU,41.0,5.4,1,DSU,10.1,6.0,1,DSU,28.9,10.0,---,.,.,---,.,.,---,.,.
               Black or African American only,"3,1",23%,23.0,2.9,"3,1",22%,22.4,2.6,"3,1",31%,31.0,2.9,1,33%,32.5,3.0,1,33%,32.5,2.9,1,29%,28.8,2.4,1,30%,30.1,2.2,1,31%,30.5,2.6,---,.,.,---,.,.,---,.,.
               White only,"3,1",16%,15.9,1.0,"3,1",17%,17.0,1.0,"3,1",16%,16.3,0.9,1,18%,18.4,0.8,1,19%,19.2,0.8,1,20%,19.9,0.7,1,21%,21.4,0.8,1,23%,22.9,0.9,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,38.6,10.0,1,20%,20.1,5.2,1,26%,25.9,5.8,1,27%,26.6,5.5,1,39%,38.7,6.3,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,35.9,7.0,1,DSU,39.1,10.1,1,DSU,59.2,7.2,1,DSU,20.0,6.2,1,DSU,45.1,10.2,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,55.0,11.6,1,DSU,41.3,8.8,1,DSU,18.8,8.2,1,DSU,38.5,10.4,1,DSU,55.2,12.0,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,17%,16.6,2.9,1,24%,24.5,3.2,1,15%,14.6,2.2,1,26%,25.6,2.9,1,21%,20.8,2.5,1,24%,24.3,2.4,1,28%,27.7,2.4,1,27%,26.6,2.5,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,16%,16.3,0.9,1,17%,16.9,0.9,1,18%,18.3,0.8,1,20%,20.1,0.9,1,21%,20.6,0.8,1,21%,20.7,0.7,1,21%,21.5,0.7,1,22%,22.5,0.8,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","3,1",23%,22.6,2.9,"3,1",23%,22.9,2.8,"3,1",31%,30.7,2.9,1,32%,32.5,3.1,1,32%,32.5,2.9,1,29%,29.1,2.5,1,30%,29.5,2.3,1,32%,32.1,2.8,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","3,1",16%,15.9,1.0,"3,1",16%,16.3,1.0,"3,1",17%,16.9,0.9,1,18%,18.2,0.9,1,19%,19.1,0.8,1,20%,20.0,0.8,1,21%,20.6,0.8,1,22%,22.4,0.9,---,.,.,---,.,.,---,.,.
               Female,1,16%,16.0,1.1,1,17%,17.2,1.1,1,19%,19.2,1.1,1,20%,20.1,1.1,1,22%,22.3,1.0,1,21%,20.8,0.9,1,22%,22.3,0.9,1,23%,22.9,1.0,---,.,.,---,.,.,---,.,.
               Male,1,16%,16.2,1.3,1,18%,18.3,1.4,1,16%,16.3,1.1,1,21%,21.2,1.2,1,19%,18.6,1.1,1,21%,21.4,1.0,1,23%,22.6,1.1,1,23%,23.1,1.2,---,.,.,---,.,.,---,.,.
               Less than high school,1,28%,28.2,3.7,1,29%,29.2,3.6,1,21%,21.2,2.8,1,28%,28.3,3.0,1,27%,27.4,2.9,1,29%,28.9,2.7,1,33%,33.2,2.9,1,34%,34.5,3.7,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,32%,32.0,6.8,1,40%,39.5,6.5,1,22%,21.9,5.0,1,24%,24.4,4.4,1,26%,26.1,4.8,1,27%,26.6,4.6,1,31%,31.4,5.0,1,31%,31.2,7.0,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,27%,26.9,4.4,1,21%,20.7,3.6,1,23%,23.4,3.6,1,30%,29.7,4.0,1,28%,28.4,3.4,1,29%,29.4,3.2,1,34%,34.0,3.5,1,37%,36.6,3.9,---,.,.,---,.,.,---,.,.
               High school graduate,1,18%,17.7,1.7,1,18%,18.1,1.6,1,18%,18.0,1.5,1,22%,22.2,1.6,1,27%,27.0,1.7,1,24%,23.8,1.4,1,27%,26.9,1.5,1,30%,29.7,1.7,---,.,.,---,.,.,---,.,.
               At least some college,1,15%,14.5,1.1,1,16%,16.3,1.2,1,19%,18.9,1.1,1,20%,19.9,1.0,1,18%,18.3,0.9,1,20%,19.8,0.9,1,20%,19.8,0.8,1,20%,19.9,0.8,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,12%,12.2,1.4,1,13%,13.5,1.4,1,16%,15.9,1.3,1,17%,16.9,1.2,1,16%,15.9,1.1,1,16%,16.4,1.0,1,15%,15.4,1.0,1,16%,16.2,0.9,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,29.6,2.1,,DNC,.,.,1,29%,29.4,1.8,1,31%,31.0,1.9,1,37%,37.3,2.3,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,18%,17.8,0.9,,DNC,.,.,1,19%,18.5,0.7,1,20%,19.9,0.8,1,20%,20.0,0.8,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,11%,11.4,1.2,1,15%,15.0,1.3,1,16%,16.3,1.3,1,15%,14.9,1.1,1,16%,16.0,1.2,1,24%,23.9,0.9,1,20%,20.3,1.3,1,20%,20.0,1.5,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,20%,20.3,1.6,1,19%,19.2,1.5,1,20%,19.8,1.3,1,27%,26.5,1.5,1,24%,23.7,1.3,1,25%,24.7,1.1,1,25%,25.2,1.1,1,26%,26.0,1.1,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,19%,18.6,1.9,1,21%,21.1,1.9,1,18%,17.5,1.6,1,22%,22.0,1.7,1,24%,23.9,1.5,1,23%,22.6,1.3,1,22%,21.6,1.2,1,23%,23.5,1.1,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,25%,25.5,2.2,1,28%,28.1,2.6,1,26%,25.5,1.6,1,27%,27.1,1.8,1,31%,31.1,1.9,1,DNC,33.1,1.8,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,15%,15.4,0.9,1,18%,18.0,0.9,1,18%,17.6,0.9,1,18%,17.8,0.8,1,19%,18.7,0.8,1,DNC,18.3,0.7,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,38%,38.2,5.9,1,41%,41.0,7.3,1,35%,34.9,5.1,1,50%,49.8,4.5,1,49%,49.1,4.6,1,52%,51.9,5.0,1,49%,48.8,5.5,1,56%,56.3,5.3,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,15%,14.6,0.9,1,17%,16.5,0.9,1,17%,16.5,0.8,1,18%,18.3,0.8,1,19%,18.6,0.7,1,19%,19.1,0.7,1,20%,20.3,0.7,1,21%,20.9,0.8,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,33%,33.5,2.8,,DNC,.,.,1,39%,38.8,2.3,,DNC,.,.,1,38%,37.9,2.5,,DNC,.,.,1,DNC,40.9,2.3,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,14%,13.9,0.9,,DNC,.,.,1,15%,14.8,0.9,,DNC,.,.,1,17%,16.7,0.8,,DNC,.,.,1,DNC,16.8,0.6,---,.,.,---,.,.,---,.,.
            STATE:North Carolina,1,19%,19.1,1.0,1,22%,22.0,1.0,1,22%,22.0,0.9,1,23%,23.0,0.9,1,24%,24.1,0.9,1,24%,24.3,0.7,1,25%,24.7,0.5,1,27%,27.0,0.5,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"3,1",DSU,31.6,8.6,"3,1",DSU,29.1,7.7,"3,1",DSU,30.9,6.1,1,DSU,23.6,4.6,1,35%,35.5,4.8,1,34%,33.7,4.4,1,34%,33.8,4.1,1,37%,37.3,4.0,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,"3,1",DSU,23.5,4.8,"3,1",DSU,0.0,0.0,"3,1",DSU,1.8,1.8,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,2.5,1.8,1,DSU,3.5,2.8,1,DSU,1.3,1.2,1,DSU,4.6,2.6,1,DSU,4.7,2.2,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,11.8,2.2,1,DSU,10.2,9.8,1,DSU,58.7,10.4,1,DSU,13.6,8.8,1,DSU,33.3,12.0,---,.,.,---,.,.,---,.,.
               Black or African American only,"3,1",30%,30.2,2.7,"3,1",32%,32.5,2.4,"3,1",32%,32.4,2.2,1,36%,36.2,2.2,1,39%,39.1,2.2,1,36%,36.4,1.8,1,37%,37.3,1.2,1,40%,40.1,1.4,---,.,.,---,.,.,---,.,.
               White only,"3,1",17%,16.8,1.1,"3,1",20%,19.7,1.1,"3,1",20%,19.7,1.0,1,20%,20.1,1.0,1,21%,20.6,0.9,1,22%,21.8,0.9,1,22%,21.9,0.5,1,24%,24.3,0.6,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,22.1,7.3,1,DSU,31.4,6.7,1,30%,30.5,5.7,1,31%,31.4,5.2,1,33%,32.8,5.5,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,2.7,2.4,1,DSU,23.0,6.2,1,DSU,31.2,7.8,1,DSU,34.0,9.6,1,36%,36.0,6.7,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,29.8,9.7,1,DSU,38.9,5.7,1,DSU,29.6,10.2,1,27%,26.7,7.4,1,DSU,44.2,13.5,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,DSU,10.6,5.1,1,DSU,36.8,7.7,1,DSU,25.5,8.7,1,23%,22.8,4.9,1,21%,21.0,4.2,1,21%,20.8,4.0,1,26%,25.9,3.2,1,25%,24.9,2.2,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,19%,19.4,1.1,1,22%,21.7,1.0,1,22%,22.1,0.9,1,23%,23.0,0.9,1,24%,24.2,0.9,1,24%,24.4,0.8,1,25%,24.8,0.5,1,27%,27.1,0.5,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","3,1",30%,30.4,2.8,"3,1",33%,32.6,2.4,"3,1",32%,32.5,2.2,1,36%,36.3,2.3,1,39%,39.4,2.3,1,36%,36.5,1.8,1,37%,37.2,1.2,1,40%,40.1,1.4,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","3,1",17%,16.8,1.1,"3,1",19%,19.2,1.1,"3,1",20%,19.7,1.0,1,20%,20.0,1.0,1,21%,20.6,0.9,1,22%,21.8,0.9,1,22%,21.9,0.5,1,24%,24.3,0.6,---,.,.,---,.,.,---,.,.
               Female,1,20%,19.8,1.3,1,23%,22.8,1.3,1,22%,22.4,1.2,1,23%,23.1,1.1,1,24%,24.3,1.1,1,26%,25.9,0.9,1,25%,24.9,0.6,1,27%,27.1,0.6,---,.,.,---,.,.,---,.,.
               Male,1,18%,18.3,1.6,1,21%,21.1,1.5,1,22%,21.8,1.3,1,23%,22.6,1.3,1,24%,23.6,1.3,1,23%,22.6,1.1,1,24%,24.5,0.7,1,27%,26.8,0.8,---,.,.,---,.,.,---,.,.
               Less than high school,1,25%,25.4,3.4,1,31%,31.2,3.3,1,30%,30.1,2.9,1,23%,22.9,2.3,1,29%,29.4,2.8,1,29%,29.1,2.3,1,31%,31.4,1.5,1,33%,33.5,1.5,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,36%,36.0,7.0,1,31%,30.9,4.8,1,34%,34.3,6.7,1,28%,28.0,6.2,1,31%,30.5,4.9,1,28%,28.1,4.2,1,35%,35.4,3.3,1,38%,37.8,2.8,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,23%,22.9,3.5,1,31%,31.3,3.5,1,29%,29.1,3.3,1,20%,19.9,2.3,1,29%,28.7,3.3,1,28%,28.2,2.4,1,30%,30.4,1.7,1,31%,31.4,1.8,---,.,.,---,.,.,---,.,.
               High school graduate,1,22%,21.7,2.0,1,27%,26.5,1.8,1,25%,25.0,1.6,1,27%,27.3,1.8,1,29%,29.3,1.6,1,28%,28.4,1.4,1,30%,29.9,1.0,1,31%,30.8,1.0,---,.,.,---,.,.,---,.,.
               At least some college,1,17%,16.9,1.4,1,19%,19.1,1.4,1,20%,20.1,1.2,1,21%,20.7,1.1,1,21%,20.9,1.1,1,21%,21.0,0.9,1,22%,22.5,0.6,1,26%,25.6,0.6,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,13%,12.6,1.7,1,16%,16.1,1.8,1,16%,15.7,1.5,1,19%,19.3,1.5,1,17%,16.5,1.3,1,17%,17.4,1.1,1,19%,19.3,0.8,1,22%,22.5,0.8,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,33%,33.2,3.2,,DNC,.,.,1,37%,36.8,2.1,1,34%,33.5,1.4,1,37%,37.1,1.4,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,21%,20.8,0.9,,DNC,.,.,1,21%,21.0,0.8,1,22%,22.4,0.5,1,24%,23.8,0.5,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,16%,16.0,1.6,1,21%,20.5,1.7,1,18%,18.4,1.4,1,20%,19.8,1.4,1,19%,18.9,1.4,1,26%,26.1,0.8,1,22%,21.6,0.8,1,23%,23.1,0.9,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,25%,24.9,2.0,1,26%,26.4,1.7,1,27%,27.1,1.6,1,27%,26.9,1.5,1,30%,29.9,1.4,1,29%,28.6,1.2,1,29%,28.8,0.8,1,32%,32.2,0.8,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,16%,15.6,1.7,1,17%,17.5,1.6,1,20%,20.2,1.5,1,23%,22.7,1.7,1,25%,24.7,1.7,1,22%,22.1,1.2,1,23%,23.4,0.8,1,25%,25.2,0.7,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,32%,31.8,2.9,1,31%,30.6,2.3,1,31%,30.9,1.9,1,30%,30.1,1.6,,DNC,.,.,1,DNC,36.4,1.4,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,19%,18.9,1.0,1,19%,19.3,0.9,1,21%,20.5,1.0,1,21%,20.5,0.8,,DNC,.,.,1,DNC,23.0,0.5,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,32%,32.2,4.6,1,38%,37.6,5.7,1,52%,51.8,6.6,1,48%,48.2,5.0,1,42%,42.3,3.7,1,55%,55.2,4.4,1,52%,51.8,3.0,1,55%,55.0,2.9,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,18%,18.0,1.1,1,20%,20.4,1.0,1,20%,20.3,0.9,1,21%,21.2,0.9,1,22%,22.1,0.9,1,22%,21.9,0.7,1,22%,22.1,0.5,1,24%,23.9,0.5,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,41%,41.4,3.1,,DNC,.,.,1,40%,40.2,2.7,,DNC,.,.,1,40%,39.6,2.1,,DNC,.,.,1,DNC,42.2,1.3,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,17%,17.4,1.0,,DNC,.,.,1,17%,17.0,0.9,,DNC,.,.,1,19%,18.7,0.8,,DNC,.,.,1,DNC,20.7,0.5,---,.,.,---,.,.,---,.,.
            STATE:North Dakota,1,20%,19.7,1.1,1,23%,22.7,1.1,1,21%,20.8,1.1,1,21%,21.1,0.9,1,24%,24.3,0.9,1,24%,24.4,0.9,1,25%,25.3,0.9,1,25%,25.5,0.9,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"3,1",DSU,17.4,4.1,"3,1",35%,35.4,6.1,"3,1",DSU,36.6,7.8,1,41%,41.1,6.1,1,39%,39.5,4.8,1,32%,31.9,5.3,1,41%,41.0,6.5,1,48%,47.7,6.1,---,.,.,---,.,.,---,.,.
