Focus area: 21-Oral Health - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,1998 raw value,1998 se,1999 footnote,1999 data,1999 raw value,1999 se,2000 footnote,2000 data,2000 raw value,2000 se,2001 footnote,2001 data,2001 raw value,2001 se,2002 footnote,2002 data,2002 raw value,2002 se,2003 footnote,2003 data,2003 raw value,2003 se,2004 footnote,2004 data,2004 raw value,2004 se,2005 footnote,2005 data,2005 raw value,2005 se,2006 footnote,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",63%,63.0,6.0,"3,4",71%,71.1,6.2,"3,4",66%,66.2,7.5,,---,.,.,,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,70.2,22.7,"3,4",DSU,94.8,5.3,"3,4",DSU,92.7,7.5,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,"3,4",51%,50.8,4.4,,DNC,.,.,,DNC,.,.,"3,4",49%,49.3,3.9,"3,4",64%,64.4,3.5,"3,4",56%,55.5,3.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,"3,4",58%,57.6,1.8,,DNC,.,.,,DNC,.,.,"3,4",66%,65.7,1.3,"3,4",73%,73.1,1.4,"3,4",72%,72.2,1.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,3,4",28%,27.9,6.6,,DNC,.,.,,DNC,.,.,"3,4",59%,58.6,6.9,"3,4",68%,68.5,7.5,"3,4",66%,65.9,7.1,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,3,4",63%,63.3,1.7,,DNC,.,.,,DNC,.,.,"3,4",67%,67.0,1.4,"3,4",73%,73.3,1.5,"3,4",74%,73.7,1.5,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,"3,4",61%,61.5,2.3,,DNC,.,.,,DNC,.,.,"3,4",66%,66.3,1.7,"3,4",75%,74.6,1.7,"3,4",70%,70.0,1.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Female,,DNC,.,.,"3,4",52%,52.1,2.3,,DNC,.,.,,DNC,.,.,"3,4",59%,59.1,2.0,"3,4",68%,67.7,2.0,"3,4",67%,67.4,2.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               Male,,DNC,.,.,"3,4",32%,32.2,4.3,,DNC,.,.,,DNC,.,.,"3,4",42%,42.5,4.2,"3,4",54%,54.1,5.0,"3,4",43%,43.1,4.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Less than high school,,DNC,.,.,"3,4",51%,51.5,3.1,,DNC,.,.,,DNC,.,.,"3,4",58%,58.2,2.5,"3,4",67%,66.9,2.8,"3,4",67%,66.9,2.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               High school graduate,,DNC,.,.,"3,4",66%,66.0,2.1,,DNC,.,.,,DNC,.,.,"3,4",70%,70.4,1.6,"3,4",76%,76.0,1.6,"3,4",77%,76.6,1.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",69%,68.9,2.8,"3,4",69%,68.6,3.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",72%,71.7,1.5,"3,4",69%,68.9,1.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,"3,4",72%,72.4,1.5,,DNC,.,.,"3,4",76%,76.4,0.8,"3,4",77%,76.8,0.7,"3,4",83%,83.0,0.7,"3,4",83%,83.4,0.7,,---,.,.,,---,.,.,---,.,.,---,.,.
            STATE:New Hampshire,,DNC,.,.,"2,3,4",DSU,0.0,0.0,,DNC,.,.,"3,4",DSU,66.2,8.4,"3,4",52%,52.2,7.8,"3,4",DSU,90.2,4.2,"3,4",DSU,76.5,7.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,3,4",DSU,84.9,13.8,,DNC,.,.,"3,4",DSU,59.3,8.3,"3,4",DSU,81.5,6.3,"3,4",DSU,79.9,6.6,"3,4",DSU,83.1,5.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,76.1,21.0,"3,4",DSU,100.0,0.0,"3,4",DSU,90.8,9.7,"3,4",DSU,100.0,0.0,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,91.8,7.9,"3,4",DSU,68.3,10.8,"3,4",DSU,71.1,12.1,"3,4",DSU,82.1,7.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,3,4",73%,73.3,1.5,,DNC,.,.,"3,4",77%,76.7,0.8,"3,4",77%,77.3,0.7,"3,4",83%,83.1,0.7,"3,4",84%,83.7,0.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,83.1,8.6,"3,4",DSU,49.5,12.0,"3,4",DSU,74.9,10.8,"3,4",DSU,83.9,7.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,70.4,13.6,"3,4",DSU,45.3,15.0,"3,4",DSU,74.6,12.4,"3,4",DSU,89.2,7.3,,---,.,.,,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,100.0,0.0,"3,4",DSU,100.0,0.0,"3,4",DSU,100.0,0.0,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,"3,4",DSU,45.0,9.0,,DNC,.,.,"3,4",66%,66.1,7.3,"3,4",69%,69.1,6.3,"3,4",85%,85.2,5.2,"3,4",77%,77.2,6.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,"3,4",74%,74.0,1.5,,DNC,.,.,"3,4",77%,76.6,0.8,"3,4",77%,77.0,0.7,"3,4",83%,83.0,0.7,"3,4",84%,83.5,0.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,3,4",DSU,96.1,4.5,,DNC,.,.,"3,4",DSU,91.8,7.9,"3,4",DSU,69.0,11.1,"3,4",DSU,68.3,13.0,"3,4",DSU,85.5,7.1,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,3,4",74%,74.0,1.5,,DNC,.,.,"3,4",77%,76.9,0.8,"3,4",77%,77.4,0.7,"3,4",83%,83.0,0.7,"3,4",84%,83.7,0.7,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,"3,4",75%,75.0,1.8,,DNC,.,.,"3,4",79%,79.3,1.0,"3,4",78%,78.2,0.9,"3,4",84%,84.5,0.8,"3,4",85%,84.8,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               Female,,DNC,.,.,"3,4",70%,69.6,2.4,,DNC,.,.,"3,4",73%,73.3,1.3,"3,4",75%,75.2,1.1,"3,4",81%,81.5,1.1,"3,4",82%,81.9,1.1,,---,.,.,,---,.,.,---,.,.,---,.,.
               Male,,DNC,.,.,"3,4",42%,41.6,6.1,,DNC,.,.,"3,4",45%,45.1,3.6,"3,4",46%,46.1,3.3,"3,4",65%,64.5,3.9,"3,4",62%,62.5,4.2,,---,.,.,,---,.,.,---,.,.,---,.,.
               Less than high school,,DNC,.,.,"3,4",66%,65.8,2.8,,DNC,.,.,"3,4",70%,70.2,1.6,"3,4",70%,70.0,1.4,"3,4",79%,78.8,1.4,"3,4",82%,81.8,1.3,,---,.,.,,---,.,.,---,.,.,---,.,.
               High school graduate,,DNC,.,.,"3,4",79%,78.7,1.8,,DNC,.,.,"3,4",84%,84.2,0.8,"3,4",83%,83.5,0.7,"3,4",87%,86.6,0.7,"3,4",87%,86.8,0.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",70%,69.9,1.9,,DNC,.,.,"3,4",76%,76.4,1.6,"3,4",77%,76.6,1.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",78%,77.7,0.9,,DNC,.,.,"3,4",85%,84.6,0.7,"3,4",85%,85.0,0.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons without disabilities,"3,4",76%,75.8,1.1,"3,4",72%,72.3,1.1,,DNC,.,.,,DNC,.,.,"3,4",74%,74.3,1.2,,DNC,.,.,"3,4",79%,79.2,0.5,,---,.,.,,---,.,.,---,.,.,---,.,.
            STATE:New Jersey,"2,3,4",DSU,90.1,6.9,"2,3,4",DSU,46.4,12.8,,DNC,.,.,,DNC,.,.,"3,4",DSU,92.0,3.7,,DNC,.,.,"3,4",74%,73.6,6.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"2,3,4",68%,68.3,5.6,"2,3,4",65%,64.9,5.6,,DNC,.,.,,DNC,.,.,"3,4",74%,73.8,4.4,,DNC,.,.,"3,4",77%,76.7,2.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,93.6,4.6,,DNC,.,.,"3,4",DSU,82.9,8.1,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",67%,67.2,4.2,,DNC,.,.,"3,4",71%,70.7,1.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               Black or African American only,"2,3,4",78%,78.3,1.1,"2,3,4",74%,73.5,1.2,,DNC,.,.,,DNC,.,.,"3,4",77%,76.6,1.3,,DNC,.,.,"3,4",83%,82.6,0.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,75.1,10.1,,DNC,.,.,"3,4",72%,71.6,7.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,65.8,22.2,,DNC,.,.,"3,4",DSU,63.6,15.8,,---,.,.,,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,25.7,17.0,,DNC,.,.,"3,4",DSU,95.8,4.3,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Black or African American; White,"3,4",69%,68.7,4.1,"3,4",59%,58.9,3.7,,DNC,.,.,,DNC,.,.,"3,4",63%,62.9,4.3,,DNC,.,.,"3,4",69%,69.0,1.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,"3,4",76%,76.4,1.1,"3,4",74%,74.5,1.1,,DNC,.,.,,DNC,.,.,"3,4",76%,75.9,1.2,,DNC,.,.,"3,4",81%,81.1,0.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,"2,3,4",65%,65.2,3.6,"2,3,4",70%,70.1,3.4,,DNC,.,.,,DNC,.,.,"3,4",67%,67.1,4.3,,DNC,.,.,"3,4",72%,71.6,1.9,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","2,3,4",78%,78.3,1.2,"2,3,4",76%,75.6,1.1,,DNC,.,.,,DNC,.,.,"3,4",78%,77.7,1.3,,DNC,.,.,"3,4",83%,83.2,0.5,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","3,4",78%,77.7,1.3,"3,4",73%,73.4,1.3,,DNC,.,.,,DNC,.,.,"3,4",75%,75.1,1.6,,DNC,.,.,"3,4",80%,80.3,0.6,,---,.,.,,---,.,.,---,.,.,---,.,.
               Female,"3,4",74%,73.8,1.7,"3,4",71%,71.1,1.7,,DNC,.,.,,DNC,.,.,"3,4",73%,73.4,1.8,,DNC,.,.,"3,4",78%,77.9,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               Male,"3,4",48%,47.7,4.3,"3,4",49%,49.1,4.1,,DNC,.,.,,DNC,.,.,"3,4",56%,56.3,5.0,,DNC,.,.,"3,4",62%,62.4,2.2,,---,.,.,,---,.,.,---,.,.,---,.,.
               Less than high school,"3,4",70%,70.0,2.0,"3,4",69%,69.4,1.9,,DNC,.,.,,DNC,.,.,"3,4",69%,69.1,2.6,,DNC,.,.,"3,4",78%,77.5,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               High school graduate,"3,4",83%,82.6,1.2,"3,4",79%,78.6,1.3,,DNC,.,.,,DNC,.,.,"3,4",80%,80.4,1.3,,DNC,.,.,"3,4",83%,82.9,0.6,,---,.,.,,---,.,.,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",65%,64.8,3.2,,DNC,.,.,"3,4",75%,75.0,1.2,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",76%,76.1,1.3,,DNC,.,.,"3,4",80%,80.1,0.6,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,"3,4",62%,62.5,0.9,,DNC,.,.,,DNC,.,.,"3,4",65%,65.3,0.9,,DNC,.,.,"3,4",74%,74.5,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
            STATE:New Mexico,,DNC,.,.,"2,3,4",65%,65.1,4.0,,DNC,.,.,,DNC,.,.,"3,4",65%,64.8,3.5,,DNC,.,.,"3,4",72%,71.8,3.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,3,4",DSU,70.4,8.3,,DNC,.,.,,DNC,.,.,"3,4",DSU,71.2,8.3,,DNC,.,.,"3,4",75%,75.3,8.2,,---,.,.,,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,71.7,15.6,,DNC,.,.,"3,4",DSU,73.8,10.8,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",64%,63.6,6.8,,DNC,.,.,"3,4",69%,68.6,6.3,,---,.,.,,---,.,.,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,3,4",64%,64.0,1.1,,DNC,.,.,,DNC,.,.,"3,4",68%,68.2,1.0,,DNC,.,.,"3,4",76%,75.8,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",57%,56.5,6.0,,DNC,.,.,"3,4",74%,73.8,5.1,,---,.,.,,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,62.8,8.9,,DNC,.,.,"3,4",70%,70.4,7.0,,---,.,.,,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,55.0,24.1,,DNC,.,.,"3,4",DSU,56.8,25.6,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,"3,4",58%,57.5,1.5,,DNC,.,.,,DNC,.,.,"3,4",58%,58.3,1.5,,DNC,.,.,"3,4",70%,70.0,1.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,"3,4",66%,66.1,1.2,,DNC,.,.,,DNC,.,.,"3,4",70%,69.5,1.0,,DNC,.,.,"3,4",77%,77.1,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,3,4",DSU,70.2,7.9,,DNC,.,.,,DNC,.,.,"3,4",65%,64.6,7.2,,DNC,.,.,"3,4",65%,65.1,7.2,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,3,4",66%,65.8,1.2,,DNC,.,.,,DNC,.,.,"3,4",70%,70.4,1.1,,DNC,.,.,"3,4",78%,77.6,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,"3,4",65%,64.7,1.2,,DNC,.,.,,DNC,.,.,"3,4",67%,67.3,1.1,,DNC,.,.,"3,4",75%,74.8,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Female,,DNC,.,.,"3,4",60%,60.1,1.4,,DNC,.,.,,DNC,.,.,"3,4",63%,63.2,1.4,,DNC,.,.,"3,4",74%,74.2,1.2,,---,.,.,,---,.,.,---,.,.,---,.,.
               Male,,DNC,.,.,"3,4",39%,39.2,2.5,,DNC,.,.,,DNC,.,.,"3,4",39%,39.2,2.6,,DNC,.,.,"3,4",62%,61.7,2.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               Less than high school,,DNC,.,.,"3,4",57%,57.0,2.0,,DNC,.,.,,DNC,.,.,"3,4",60%,59.6,1.8,,DNC,.,.,"3,4",68%,68.2,1.6,,---,.,.,,---,.,.,---,.,.,---,.,.
               High school graduate,,DNC,.,.,"3,4",72%,72.3,1.2,,DNC,.,.,,DNC,.,.,"3,4",75%,75.2,1.0,,DNC,.,.,"3,4",80%,80.1,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",72%,71.7,1.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",75%,75.1,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,"3,4",70%,70.1,1.0,,DNC,.,.,,DNC,.,.,"3,4",72%,71.7,0.8,"3,4",77%,76.9,0.8,"3,4",75%,75.1,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
            STATE:New York,,DNC,.,.,"2,3,4",DSU,53.0,9.4,,DNC,.,.,,DNC,.,.,"3,4",DSU,66.4,8.7,"3,4",DSU,70.5,8.3,"3,4",DSU,75.6,7.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,3,4",64%,64.0,5.7,,DNC,.,.,,DNC,.,.,"3,4",63%,62.9,5.1,"3,4",75%,74.8,4.3,"3,4",68%,67.7,4.6,,---,.,.,,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,76.5,16.4,"3,4",DSU,76.2,12.2,"3,4",DSU,59.1,11.6,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",67%,67.0,2.6,"3,4",71%,71.0,2.6,"3,4",70%,70.3,2.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,3,4",72%,71.6,1.2,,DNC,.,.,,DNC,.,.,"3,4",74%,74.4,0.9,"3,4",80%,79.6,0.8,"3,4",78%,78.0,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",63%,63.0,6.8,"3,4",74%,73.8,6.1,"3,4",67%,66.9,6.3,,---,.,.,,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,38.0,13.2,"3,4",DSU,74.2,11.1,"3,4",DSU,61.7,10.4,,---,.,.,,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,79.6,11.6,"3,4",DSU,55.6,14.2,"3,4",DSU,64.8,11.8,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,"3,4",66%,66.1,3.2,,DNC,.,.,,DNC,.,.,"3,4",66%,66.4,2.7,"3,4",70%,70.1,2.5,"3,4",65%,65.1,2.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,"3,4",71%,70.8,1.1,,DNC,.,.,,DNC,.,.,"3,4",73%,72.7,0.8,"3,4",78%,78.2,0.8,"3,4",77%,77.1,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,3,4",65%,64.9,3.1,,DNC,.,.,,DNC,.,.,"3,4",67%,66.8,2.7,"3,4",72%,72.2,2.7,"3,4",71%,71.0,2.4,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,3,4",73%,72.7,1.2,,DNC,.,.,,DNC,.,.,"3,4",75%,75.3,0.9,"3,4",80%,80.2,0.8,"3,4",79%,79.2,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,"3,4",72%,71.9,1.3,,DNC,.,.,,DNC,.,.,"3,4",75%,74.6,1.0,"3,4",79%,79.2,0.9,"3,4",77%,76.7,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Female,,DNC,.,.,"3,4",68%,68.1,1.6,,DNC,.,.,,DNC,.,.,"3,4",68%,68.4,1.3,"3,4",74%,74.3,1.2,"3,4",73%,73.3,1.3,,---,.,.,,---,.,.,---,.,.,---,.,.
               Male,,DNC,.,.,"3,4",54%,54.3,3.7,,DNC,.,.,,DNC,.,.,"3,4",53%,53.4,3.1,"3,4",63%,62.9,3.2,"3,4",62%,61.8,3.1,,---,.,.,,---,.,.,---,.,.,---,.,.
               Less than high school,,DNC,.,.,"3,4",66%,65.7,2.0,,DNC,.,.,,DNC,.,.,"3,4",67%,66.8,1.7,"3,4",75%,75.2,1.6,"3,4",72%,72.4,1.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               High school graduate,,DNC,.,.,"3,4",77%,77.0,1.3,,DNC,.,.,,DNC,.,.,"3,4",77%,77.2,1.0,"3,4",81%,81.3,0.9,"3,4",79%,79.0,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",73%,73.5,1.7,"3,4",73%,72.7,1.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",78%,77.8,0.9,"3,4",76%,75.8,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,"3,4",67%,67.2,1.1,,DNC,.,.,"3,4",69%,69.4,1.0,"3,4",68%,67.6,0.9,,DNC,.,.,"3,4",77%,77.4,0.5,,---,.,.,,---,.,.,---,.,.,---,.,.
            STATE:North Carolina,,DNC,.,.,"2,3,4",DSU,54.6,10.0,,DNC,.,.,"3,4",61%,61.0,8.2,"3,4",54%,53.9,6.6,,DNC,.,.,"3,4",72%,72.4,3.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,3,4",DSU,69.8,10.4,,DNC,.,.,"3,4",69%,68.8,9.3,"3,4",62%,62.3,8.4,,DNC,.,.,"3,4",77%,76.7,5.2,,---,.,.,,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,55.3,19.4,"3,4",DSU,64.1,26.2,,DNC,.,.,"3,4",DSU,72.1,15.7,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",61%,61.2,2.3,"3,4",60%,60.4,2.3,,DNC,.,.,"3,4",69%,69.3,1.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,3,4",70%,70.2,1.3,,DNC,.,.,"3,4",72%,71.8,1.1,"3,4",72%,71.6,1.0,,DNC,.,.,"3,4",82%,81.5,0.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",63%,63.3,9.5,"3,4",74%,74.4,8.8,,DNC,.,.,"3,4",75%,74.6,4.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,67.5,21.9,"3,4",DSU,65.8,13.3,,DNC,.,.,"3,4",DSU,74.4,8.6,,---,.,.,,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,63.4,13.2,"3,4",DSU,88.8,8.2,,DNC,.,.,"3,4",81%,80.6,6.7,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,"3,4",76%,75.6,6.4,,DNC,.,.,"3,4",61%,61.3,6.1,"3,4",43%,43.0,4.7,,DNC,.,.,"3,4",56%,55.6,3.1,,---,.,.,,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,"3,4",67%,67.0,1.2,,DNC,.,.,"3,4",70%,69.7,1.0,"3,4",69%,69.3,0.9,,DNC,.,.,"3,4",79%,79.0,0.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,3,4",55%,55.4,2.8,,DNC,.,.,"3,4",62%,61.9,2.3,"3,4",61%,60.8,2.4,,DNC,.,.,"3,4",69%,69.2,1.4,,---,.,.,,---,.,.,---,.,.,---,.,.
