Focus area:14-Immunization and Infectious Diseases - 03-17-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,footnote,1998,raw  ,se  ,footnote,1999,raw  ,se  ,footnote,2000,raw  ,se  ,footnote,2001,raw  ,se  ,footnote,2002,raw  ,se  ,footnote,2003,raw  ,se  ,footnote,2004,raw  ,se  ,footnote,2005,raw  ,se  ,footnote,2006,raw  ,se  ,2007,raw,se,2008,raw,se
"                    White only, not Hispanic or Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,1,27%,26.6,1.7,1,28%,28.4,2.2,1,33%,32.7,1.9,1,33%,33.5,2.4,1,23%,23.2,1.9,1,34%,34.3,2.9,---,.,.,---,.,.
                 Female,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,27%,26.8,2.2,1,28%,28.4,2.4,1,35%,34.6,2.6,1,30%,30.0,2.6,1,24%,24.4,2.4,1,34%,34.5,3.4,---,.,.,---,.,.
                 Male,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,25%,24.5,2.4,1,31%,31.1,3.6,1,31%,31.1,2.6,1,35%,35.2,3.5,1,21%,21.1,2.8,1,32%,31.7,4.5,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,23%,23.0,3.7,1,30%,30.3,5.6,1,30%,30.0,4.1,1,34%,33.7,5.5,1,15%,15.3,2.8,1,25%,24.8,4.3,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,25.6,2.5,1,27%,27.1,3.1,1,35%,34.8,2.8,1,26%,25.8,3.0,1,21%,21.0,2.5,1,35%,34.7,3.6,---,.,.,---,.,.
                 At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,33%,32.8,2.9,1,39%,39.0,3.6,1,35%,35.0,2.6,1,45%,44.5,3.4,1,24%,24.4,2.4,1,41%,41.1,4.0,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,28%,27.8,3.0,,DNC,.,.,1,35%,34.7,3.0,1,33%,32.8,4.3,1,25%,24.9,3.0,1,36%,36.3,4.3,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,24.3,1.9,,DNC,.,.,1,31%,31.3,2.3,1,33%,32.9,2.7,1,21%,21.3,2.3,1,32%,32.3,3.5,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,1,22%,22.2,2.0,1,43%,43.2,6.8,1,28%,27.8,2.3,1,26%,26.2,2.7,1,19%,19.4,2.2,1,28%,27.6,3.4,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,1,40%,40.2,2.6,1,50%,49.9,4.9,1,48%,48.5,2.3,1,51%,51.0,2.9,1,31%,31.3,2.1,1,52%,51.8,2.6,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,29.2,5.7,1,39%,39.3,5.5,1,47%,46.8,6.2,1,36%,35.9,4.9,1,31%,30.7,4.3,1,36%,35.5,5.1,---,.,.,---,.,.
              STATE:Wisconsin,,DNC,.,.,1,24%,24.4,2.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,35.1,2.0,,DNC,.,.,1,31%,30.9,1.8,1,39%,38.5,3.0,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,40.5,15.5,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,33.9,13.3,,DNC,.,.,1,DSU,16.4,8.9,1,DSU,47.5,21.7,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,17.9,14.6,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,57.4,20.1,,DNC,.,.,1,DSU,16.5,15.6,1,DSU,26.7,20.1,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,46.7,12.5,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",DSU,33.1,7.5,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,26.5,4.8,,DNC,.,.,1,26%,25.7,3.8,1,30%,29.6,7.4,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",24%,23.9,2.1,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,34.8,2.1,,DNC,.,.,1,32%,31.5,1.9,1,38%,38.0,3.3,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,60.5,15.6,,DNC,.,.,1,DSU,39.4,16.8,1,DSU,44.0,12.7,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,55.5,21.7,,DNC,.,.,1,DSU,22.0,7.0,1,DSU,50.7,14.9,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,17.3,12.8,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,26.4,11.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,37.2,10.9,,DNC,.,.,1,DSU,37.6,12.3,1,DSU,35.6,15.1,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,25%,24.6,2.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,35.1,2.1,,DNC,.,.,1,31%,30.8,1.7,1,38%,38.3,3.0,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",DSU,32.0,7.6,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,27%,26.6,4.8,,DNC,.,.,1,24%,24.1,3.6,1,29%,29.5,7.4,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",24%,24.0,2.1,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,35.1,2.2,,DNC,.,.,1,32%,31.7,1.9,1,38%,38.1,3.3,---,.,.,---,.,.
                 Female,,DNC,.,.,1,25%,25.1,2.6,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,36%,35.7,2.6,,DNC,.,.,1,36%,36.0,2.6,1,41%,41.1,3.2,---,.,.,---,.,.
                 Male,,DNC,.,.,1,24%,23.9,3.1,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,34.5,3.0,,DNC,.,.,1,25%,25.2,2.3,1,36%,35.6,5.5,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,1,DSU,21.9,6.4,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,34.6,6.8,,DNC,.,.,1,13%,12.5,3.1,1,37%,37.2,9.8,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,25%,24.8,3.6,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,32%,31.9,3.6,,DNC,.,.,1,30%,29.8,3.0,1,35%,35.3,4.3,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,27%,27.4,2.8,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,42%,41.5,2.6,,DNC,.,.,1,34%,34.3,2.2,1,42%,42.0,3.1,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,36%,35.7,3.7,,DNC,.,.,1,36%,36.5,4.3,1,45%,45.2,5.6,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,34%,33.7,2.4,,DNC,.,.,1,29%,28.9,1.9,1,36%,35.9,3.5,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,1,21%,21.0,2.5,,DNC,.,.,,DNC,.,.,1,44%,43.9,8.3,1,29%,29.3,2.5,,DNC,.,.,1,26%,26.3,2.1,1,33%,32.6,3.7,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,1,39%,39.4,3.7,,DNC,.,.,,DNC,.,.,1,58%,58.1,6.1,1,52%,51.9,2.9,,DNC,.,.,1,43%,43.5,2.3,1,55%,55.2,3.0,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,1,41%,41.2,8.4,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,49%,48.9,7.7,,DNC,.,.,1,38%,38.1,4.9,1,66%,66.4,5.5,---,.,.,---,.,.
              STATE:Wyoming,1,32%,31.9,2.6,1,30%,29.7,2.2,,DNC,.,.,1,28%,28.0,1.8,,DNC,.,.,1,36%,36.1,2.0,,DNC,.,.,1,29%,29.4,1.6,1,36%,36.1,2.3,---,.,.,---,.,.
                 American Indian or Alaska Native only,"2,1",DSU,52.3,22.2,"2,1",DSU,13.1,9.1,,DNC,.,.,1,DSU,29.4,7.5,,DNC,.,.,1,DSU,35.4,10.7,,DNC,.,.,1,DSU,37.6,8.0,1,DSU,34.3,5.3,---,.,.,---,.,.
                 Asian or Pacific Islander only,"2,1",DSU,63.9,0.0,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,22.8,16.9,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,57.3,34.6,1,DSU,31.3,26.3,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,63.9,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Black or African American only,"2,1",DSU,36.1,0.0,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,19.2,12.7,,DNC,.,.,1,DSU,78.7,18.4,,DNC,.,.,1,DSU,38.4,20.1,1,DSU,80.6,9.1,---,.,.,---,.,.
                 White only,"2,1",32%,32.0,2.6,"2,1",30%,30.1,2.3,,DNC,.,.,1,28%,28.0,1.8,,DNC,.,.,1,36%,35.6,2.0,,DNC,.,.,1,30%,29.5,1.7,1,36%,36.4,2.5,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,22.8,8.2,,DNC,.,.,1,DSU,40.5,14.8,,DNC,.,.,1,DSU,16.8,6.6,1,DSU,28.3,12.1,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,23.5,8.3,,DNC,.,.,1,DSU,94.5,3.8,,DNC,.,.,1,DSU,20.8,9.7,1,DSU,30.4,16.4,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,1,DSU,27.1,9.5,1,DSU,30.1,8.3,,DNC,.,.,1,DSU,41.0,7.1,,DNC,.,.,1,DSU,47.1,8.3,,DNC,.,.,1,39%,39.2,7.8,1,DSU,21.2,8.0,---,.,.,---,.,.
                 Not Hispanic or Latino,1,32%,32.1,2.7,1,30%,29.8,2.3,,DNC,.,.,1,28%,27.7,1.8,,DNC,.,.,1,36%,35.5,2.0,,DNC,.,.,1,29%,28.9,1.6,1,37%,36.8,2.4,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino","2,1",DSU,36.1,0.0,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,19.2,12.7,,DNC,.,.,1,DSU,78.7,18.4,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,80.6,9.1,---,.,.,---,.,.
"                    White only, not Hispanic or Latino","2,1",31%,31.5,2.7,"2,1",30%,30.3,2.3,,DNC,.,.,1,28%,27.6,1.9,,DNC,.,.,1,35%,35.0,2.1,,DNC,.,.,1,30%,29.7,1.7,1,37%,36.8,2.5,---,.,.,---,.,.
                 Female,1,34%,33.5,3.4,1,34%,34.2,3.0,,DNC,.,.,1,31%,31.2,2.6,,DNC,.,.,1,40%,40.5,2.8,,DNC,.,.,1,35%,34.7,2.3,1,37%,37.0,2.9,---,.,.,---,.,.
                 Male,1,31%,30.7,3.7,1,26%,25.8,3.3,,DNC,.,.,1,26%,25.5,2.3,,DNC,.,.,1,33%,32.5,2.7,,DNC,.,.,1,25%,24.8,2.2,1,35%,35.3,3.6,---,.,.,---,.,.
                 Less than high school,1,DSU,31.3,8.1,1,DSU,25.3,8.3,,DNC,.,.,1,DSU,26.8,8.1,,DNC,.,.,1,50%,50.3,9.4,,DNC,.,.,1,27%,27.4,5.5,1,DSU,20.5,6.5,---,.,.,---,.,.
                 High school graduate,1,29%,29.1,3.9,1,25%,25.3,3.3,,DNC,.,.,1,28%,28.2,2.9,,DNC,.,.,1,30%,30.5,3.1,,DNC,.,.,1,28%,27.8,2.9,1,29%,28.6,3.5,---,.,.,---,.,.
                 At least some college,1,37%,37.4,3.9,1,32%,32.3,3.0,,DNC,.,.,1,30%,30.2,2.4,,DNC,.,.,1,40%,39.9,2.6,,DNC,.,.,1,34%,34.5,2.1,1,43%,42.8,2.9,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,26.2,3.2,,DNC,.,.,1,40%,39.6,4.1,,DNC,.,.,1,35%,34.9,3.6,1,39%,38.5,4.2,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,28%,28.5,2.1,,DNC,.,.,1,35%,34.7,2.2,,DNC,.,.,1,27%,27.2,1.8,1,34%,34.2,2.8,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),1,29%,29.1,3.2,1,24%,23.8,2.5,,DNC,.,.,1,22%,21.5,2.1,1,DSU,42.2,8.7,1,30%,30.5,2.4,,DNC,.,.,1,23%,23.3,2.0,1,31%,31.3,2.9,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),1,45%,44.6,3.8,1,47%,47.2,3.8,,DNC,.,.,1,48%,47.9,3.2,1,60%,59.8,5.6,1,49%,49.5,2.5,,DNC,.,.,1,47%,47.5,2.2,1,51%,51.3,2.8,---,.,.,---,.,.
                    Persons with diabetes,1,DSU,40.1,10.7,1,36%,36.4,7.1,,DNC,.,.,1,40%,40.3,7.2,,DNC,.,.,1,50%,50.1,6.6,,DNC,.,.,1,46%,45.6,5.6,1,32%,31.9,4.4,---,.,.,---,.,.
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14-29d Influenza and pneumococcal vaccination of high-risk adults - Noninstitutionalized high-risk adults - Pneumococcal vaccine ever received (age adjusted, aged 18 to 64 years)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              STATE:Alabama,,DNC,.,.,1,18%,18.1,2.3,,DNC,.,.,1,21%,20.8,1.8,,DNC,.,.,1,20%,20.3,1.7,,DNC,.,.,1,18%,18.1,1.7,1,31%,30.7,3.1,---,.,.,---,.,.
              Race and ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,25.6,9.9,,DNC,.,.,1,DSU,49.8,12.9,,DNC,.,.,1,DSU,12.1,5.8,1,DSU,36.1,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,17.4,12.7,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,79.2,19.8,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",16%,16.0,5.0,,DNC,.,.,1,21%,20.5,3.6,,DNC,.,.,1,25%,24.5,3.7,,DNC,.,.,1,13%,13.3,2.7,1,32%,31.9,6.8,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",18%,18.4,2.5,,DNC,.,.,1,21%,21.0,2.2,,DNC,.,.,1,17%,17.2,1.7,,DNC,.,.,1,20%,19.6,2.1,1,29%,29.3,3.1,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,12.6,8.8,,DNC,.,.,1,DSU,8.1,5.2,,DNC,.,.,1,DSU,17.7,7.1,1,DSU,46.6,28.1,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,5.3,5.0,,DNC,.,.,1,DSU,13.3,7.5,1,DSU,50.2,28.9,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,17.6,6.6,1,DSU,86.6,16.5,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,24.9,18.9,,DNC,.,.,1,DSU,24.3,11.3,,DNC,.,.,1,DSU,10.7,9.6,,DNC,.,.,1,DSU,27.1,11.6,1,DSU,37.7,15.4,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,18%,18.1,2.3,,DNC,.,.,1,21%,20.8,1.8,,DNC,.,.,1,20%,20.4,1.7,,DNC,.,.,1,18%,17.9,1.7,1,31%,30.5,3.2,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",16%,16.5,5.2,,DNC,.,.,1,20%,20.4,3.7,,DNC,.,.,1,24%,24.1,3.7,,DNC,.,.,1,13%,13.1,2.8,1,32%,32.0,7.0,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",18%,18.4,2.5,,DNC,.,.,1,21%,21.0,2.2,,DNC,.,.,1,17%,17.4,1.7,,DNC,.,.,1,19%,19.3,2.1,1,30%,29.7,3.1,---,.,.,---,.,.
              Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Female,,DNC,.,.,1,17%,17.3,2.8,,DNC,.,.,1,20%,20.2,2.1,,DNC,.,.,1,19%,19.0,2.0,,DNC,.,.,1,18%,18.3,2.2,1,24%,23.8,2.8,---,.,.,---,.,.
                 Male,,DNC,.,.,1,19%,18.9,3.7,,DNC,.,.,1,21%,21.5,3.0,,DNC,.,.,1,22%,21.6,2.7,,DNC,.,.,1,18%,17.9,2.5,1,38%,38.1,5.5,---,.,.,---,.,.
              Education level (persons aged 25 years and over),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Less than high school,,DNC,.,.,1,25%,24.9,5.9,,DNC,.,.,1,29%,29.1,5.9,,DNC,.,.,1,26%,26.2,5.7,,DNC,.,.,1,13%,13.4,2.9,1,34%,33.7,7.2,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,15%,15.4,3.3,,DNC,.,.,1,18%,17.9,3.0,,DNC,.,.,1,20%,20.4,2.6,,DNC,.,.,1,19%,19.2,2.5,1,28%,27.8,4.6,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,17%,17.0,2.9,,DNC,.,.,1,21%,20.9,2.5,,DNC,.,.,1,18%,17.5,2.0,,DNC,.,.,1,20%,19.6,2.4,1,31%,31.2,3.3,---,.,.,---,.,.
              Disability status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,29.6,4.0,,DNC,.,.,1,29%,28.5,3.4,,DNC,.,.,1,28%,28.5,4.1,1,36%,36.1,5.5,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,17%,16.9,2.0,,DNC,.,.,1,16%,15.9,1.9,,DNC,.,.,1,14%,13.6,1.7,1,26%,26.2,3.7,---,.,.,---,.,.
              Select populations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Age Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,1,16%,16.0,2.7,,DNC,.,.,1,18%,17.5,2.1,,DNC,.,.,1,18%,17.8,2.0,,DNC,.,.,1,15%,15.1,2.1,,DNC,.,.,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,1,22%,21.5,2.8,,DNC,.,.,1,30%,30.0,2.8,,DNC,.,.,1,28%,27.7,2.2,,DNC,.,.,1,30%,29.6,2.3,1,43%,42.7,3.1,---,.,.,---,.,.
                 Persons with high-risk conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Persons with diabetes,,DNC,.,.,1,30%,29.8,7.2,,DNC,.,.,1,38%,38.1,5.6,,DNC,.,.,1,31%,31.3,5.9,,DNC,.,.,1,24%,24.0,4.8,1,38%,37.8,6.1,---,.,.,---,.,.
              STATE:Alaska,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,27%,26.5,2.5,,DNC,.,.,1,25%,24.5,2.4,1,31%,31.4,3.7,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,30.9,7.5,,DNC,.,.,1,29%,28.7,6.0,1,42%,42.3,8.9,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,36.1,0.0,,DNC,.,.,1,DSU,34.7,5.9,1,DSU,46.6,15.0,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,23.7,16.3,,DNC,.,.,,DNC,.,.,1,DSU,63.9,0.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,17.6,10.6,,DNC,.,.,1,DSU,48.7,15.0,1,DSU,9.0,9.6,---,.,.,---,.,.
                 White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,24.4,2.9,,DNC,.,.,1,23%,23.1,2.8,1,32%,32.3,4.5,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,43.5,12.5,,DNC,.,.,1,DSU,29.3,9.6,1,DSU,15.7,7.0,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,34.3,13.1,,DNC,.,.,1,DSU,21.4,8.3,1,DSU,15.0,7.8,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,28.6,21.6,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,34.5,11.8,,DNC,.,.,1,DSU,14.4,8.3,1,DSU,30.1,13.8,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,26.0,2.6,,DNC,.,.,1,25%,24.9,2.5,1,30%,30.2,3.7,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,17.6,10.6,,DNC,.,.,1,DSU,49.7,15.4,1,DSU,0.0,0.0,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,25%,24.5,2.9,,DNC,.,.,1,24%,23.7,2.9,1,30%,30.2,4.3,---,.,.,---,.,.
                 Female,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,28%,28.1,3.4,,DNC,.,.,1,27%,26.8,3.6,1,31%,31.2,4.3,---,.,.,---,.,.
                 Male,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,25%,24.6,3.8,,DNC,.,.,1,22%,22.0,3.1,1,32%,32.4,6.3,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,27.6,8.4,,DNC,.,.,1,DSU,25.7,7.8,1,DSU,21.8,10.0,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,23%,23.2,4.7,,DNC,.,.,1,18%,18.4,3.8,1,32%,31.7,6.1,---,.,.,---,.,.
                 At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,26.3,3.0,,DNC,.,.,1,28%,28.2,3.1,1,35%,35.1,5.2,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,39%,39.0,6.0,,DNC,.,.,1,33%,32.7,4.8,1,36%,36.0,6.9,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,22%,21.7,2.7,,DNC,.,.,1,21%,21.0,2.8,1,27%,27.3,4.4,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,24.3,3.2,,DNC,.,.,1,20%,19.8,2.9,,DNC,.,.,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,37%,37.1,4.0,,DNC,.,.,1,40%,39.9,3.6,1,46%,45.9,6.2,---,.,.,---,.,.
